timestamp,Fossil,Wind,Solar
1/1/16,37521,9771,702
2/1/16,32023,10371,1350
3/1/16,35256,6331,
4/1/16,30078,6235,4129
5/1/16,27404,6445,5190
6/1/16,27909,4434,5436
7/1/16,27991,4434,5436
8/1/16,28239,4533,5191
9/1/16,32634,4021,4233
10/1/16,36135,5341,1846
11/1/16,37183,7680,1122
12/1/16,37774,,875
1/1/17,37369,7813,869
2/1/17,34284,9882,1612
3/1/17,34069,9294,3518
4/1/17,30025,,4312
5/1/17,30663,5690,5127
6/1/17,26768,,5984
7/1/17,28811,5590,
8/1/17,,5586,5150
9/1/17,30773,6372,3446
10/1/17,28855,12672,
11/1/17,34430,10427,980
12/1/17,31333,15171,553
1/1/18,30804,14442,790
2/1/18,34245,7940,1983
3/1/18,33983,10661,2920
4/1/18,26060,8892,5388
5/1/18,25022,7194,6609
6/1/18,26600,5739,5948
7/1/18,30103,4392,6875
8/1/18,29871,6044,5780
9/1/18,,7881,4537
10/1/18,30596,10615,3062
11/1/18,33281,9825,1306
12/1/18,29678,14264,
1/1/19,34566,13925,856
2/1/19,30690,10893,2107
3/1/19,,16485,3457
4/1/19,25336,,5872
5/1/19,24871,8281,5747
6/1/19,21357,6577,7399
7/1/19,24516,6566,
8/1/19,24077,5792,6045
9/1/19,23300,9109,4480
10/1/19,27267,11642,2807
11/1/19,31734,10075,1109
12/1/19,25661,15188,1066
1/1/20,28290,15990,1261
2/1/20,20967,20329,1923
3/1/20,22470,,4657
4/1/20,16490,8758,7335
5/1/20,,7638,7121
6/1/20,20213,6414,6613
7/1/20,21680,7014,7316
8/1/20,23129,6775,6330
9/1/20,,6363,5378
10/1/20,26166,13476,2561
